City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,cam pha mines,21.0167,107.3,297.57,91,96,1.63,VN,1717694575
119,bengkulu,-3.8004,102.2655,299.58,86,100,1.56,ID,1717694575
120,dalhart,36.0595,-102.5133,308.42,29,0,1.73,US,1717694576
121,puttalam,8.0362,79.8283,300.87,84,86,7.77,LK,1717694576
122,whittlesea,-32.1759,26.8244,282.54,52,1,3.53,ZA,1717694577
123,belyy yar,53.6039,91.3903,286.09,94,75,4.0,RU,1717694579
124,constantia,44.1833,28.65,295.76,86,43,5.24,RO,1717694385
125,ouargla,31.9493,5.325,311.19,12,0,4.12,DZ,1717694408
126,eraan,9.0629,117.7016,299.74,84,100,1.89,PH,1717694580
127,laojunmiao,39.8333,97.7333,288.52,41,86,2.4,CN,1717694581
128,regina,50.4501,-104.6178,292.21,41,20,13.89,CA,1717694470
129,ribeira grande,38.5167,-28.7,294.37,60,20,7.15,PT,1717694582
130,port saint john's,-31.6229,29.5448,291.86,61,0,4.76,ZA,1717694582
131,harstad,68.799,16.5293,286.81,93,100,4.47,NO,1717694583
132,jarwal,27.1667,81.55,310.66,18,0,3.5,IN,1717694584
133,margaret river,-33.95,115.0667,289.37,54,96,5.04,AU,1717694584
134,katsuren-haebaru,26.3369,127.8719,296.16,93,100,2.06,JP,1717694585
135,puerto ayora,-0.7393,-90.3518,301.13,74,74,4.62,EC,1717694585
136,petropavlovsk-kamchatsky,53.0452,158.6483,277.48,62,75,2.24,RU,1717694586
137,west island,-12.1568,96.8225,301.14,83,40,5.14,CC,1717694587
138,qui nhon,13.7667,109.2333,300.3,85,100,1.69,VN,1717694587
139,punta arenas,-53.15,-70.9167,277.21,93,100,6.17,CL,1717694449
140,callao,-12.0667,-77.15,293.31,68,0,4.12,PE,1717694299
141,ta`u,-14.2336,-169.5144,299.45,74,86,10.0,AS,1717694590
142,merizo village,13.2658,144.6691,301.0,90,91,6.79,GU,1717694590
143,kolonia,50.9333,6.95,292.83,39,0,5.14,DE,1717694531
144,borgarnes,64.5383,-21.9206,282.18,59,99,8.54,IS,1717694591
145,revda,56.801,59.9303,288.37,97,72,2.16,RU,1717694592
146,buala,-8.145,159.5921,300.07,80,100,3.39,SB,1717694592
147,caarapo,-22.6342,-54.8222,302.5,29,17,3.58,BR,1717694593
148,kataba,13.9833,44.3833,295.73,48,30,2.81,YE,1717694594
149,gbely,48.718,17.1163,299.1,68,94,2.59,SK,1717694593
150,kodinsk,58.6881,99.1844,283.95,54,100,1.62,RU,1717694595
151,mandiana,10.6333,-8.6833,311.01,27,93,2.26,GN,1717694595
152,umarkot,25.3616,69.7362,306.4,53,1,8.57,PK,1717694596
153,marsa alam,25.0757,34.8918,304.93,39,0,1.22,EG,1717694597
154,lycksele,64.5954,18.6735,284.08,66,75,7.2,SE,1717694597
155,la ronge,55.1001,-105.2842,282.29,66,100,6.17,CA,1717694598
156,kayangel,8.0823,134.7173,301.98,78,100,5.32,PW,1717694598
157,norman gardens,-23.3224,150.5393,282.14,70,0,0.0,AU,1717694600
158,college,64.8569,-147.8028,287.09,78,75,1.54,US,1717694600
159,fale old settlement,-9.3852,-171.2468,301.65,73,13,2.76,TK,1717694601
160,silver city,32.7701,-108.2803,307.25,14,0,3.09,US,1717694601
161,saldanha,-33.0117,17.9442,286.18,77,99,2.01,ZA,1717694602
162,noosa heads,-26.3833,153.15,284.88,62,0,2.59,AU,1717694603
163,canavieiras,-15.675,-38.9472,301.25,57,39,2.95,BR,1717694603
164,songjianghe,42.1859,127.479,284.32,77,100,2.67,CN,1717694604
165,al khaburah,23.9886,57.0984,306.93,58,0,2.65,OM,1717694604
166,longyearbyen,78.2186,15.6401,279.06,70,0,5.14,SJ,1717694605
167,dadukou,26.5479,101.7054,297.98,77,92,0.78,CN,1717694605
168,tinghir,31.5157,-5.5343,303.61,13,85,5.76,MA,1717694606
169,malabar,-33.9667,151.25,287.66,90,100,0.45,AU,1717694607
170,nema,57.5067,50.5011,291.18,90,23,2.16,RU,1717694607
171,pandan,14.0453,124.1694,299.88,87,72,2.2,PH,1717694608
172,hawaiian paradise park,19.5933,-154.9731,296.43,90,20,2.57,US,1717694608
173,egilsstadir,65.2653,-14.3948,278.1,65,100,3.09,IS,1717694610
174,remire-montjoly,4.9167,-52.2667,301.57,74,68,5.07,GF,1717694610
175,lupane,-18.9315,27.807,294.08,23,0,2.22,ZW,1717694611
176,villa gesell,-37.2639,-56.973,292.07,63,4,4.09,AR,1717694492
177,dien bien phu,21.3833,103.0167,296.62,99,100,0.73,VN,1717694612
178,kendari,-3.945,122.4989,296.73,95,99,0.83,ID,1717694612
179,bodo,67.28,14.405,284.23,86,75,2.06,NO,1717694613
180,cabedelo,-6.9811,-34.8339,303.52,73,47,6.45,BR,1717694615
181,senador guiomard,-10.1522,-67.7392,305.01,34,44,1.05,BR,1717694615
182,nova sintra,14.8667,-24.7167,297.08,80,66,8.68,CV,1717694616
183,taulaga,-11.0553,-171.0883,300.94,78,23,6.74,AS,1717694617
184,richards bay,-28.783,32.0377,291.81,62,0,2.9,ZA,1717694617
185,prineville,44.2999,-120.8345,297.42,34,0,2.06,US,1717694618
186,saipan,15.1355,145.701,300.54,78,75,4.12,MP,1717694618
187,namibe,-15.1961,12.1522,293.36,59,23,6.65,AO,1717694619
188,san andres,12.5847,-81.7006,305.16,70,40,3.09,CO,1717694452
189,gorontalo,0.5412,123.0595,296.75,98,73,1.34,ID,1717694620
190,sandnessjoen,66.0217,12.6316,287.44,76,40,5.14,NO,1717694621
191,georgiyevka,43.0369,74.7114,294.17,49,0,3.0,KZ,1717694622
192,papao,-17.75,-149.55,299.97,78,65,4.44,PF,1717694622
193,honolulu,21.3069,-157.8583,297.21,83,75,1.54,US,1717694438
194,talnakh,69.4865,88.3972,271.04,98,100,1.98,RU,1717694624
195,labrador city,52.9463,-66.9114,298.81,35,20,3.09,CA,1717694624
196,gubkinskiy,64.434,76.5026,275.79,81,33,5.27,RU,1717694625
197,nyurba,63.2842,118.3319,281.91,85,100,1.44,RU,1717694625
198,ust-nera,64.5667,143.2,285.74,59,30,2.84,RU,1717694626
199,tshabong,-26.05,22.45,283.42,53,7,4.55,BW,1717694626
200,kalmunai,7.4167,81.8167,301.46,74,81,8.71,LK,1717694627
201,general villegas,-35.0328,-63.0125,292.58,61,100,2.42,AR,1717694459
202,arraial do cabo,-22.9661,-42.0278,298.13,69,0,6.69,BR,1717694628
203,maintirano,-18.0667,44.0167,298.3,77,1,3.67,MG,1717694628
204,n'zeto,-7.2312,12.8666,295.62,80,90,3.04,AO,1717694629
205,masterton,-40.9597,175.6575,281.97,95,87,0.66,NZ,1717694630
206,sikandra,26.3667,79.65,310.96,15,0,0.96,IN,1717694630
207,ancud,-41.8697,-73.8203,285.31,89,90,7.23,CL,1717694631
208,nogliki,51.8333,143.1667,278.9,86,98,2.68,RU,1717694631
209,anaconda,46.1285,-112.9423,292.7,30,0,2.48,US,1717694632
210,ourinhos,-22.9789,-49.8706,301.49,33,4,1.58,BR,1717694559
211,nizhneangarsk,55.7833,109.55,280.37,93,99,1.79,RU,1717694633
212,carolina,18.3808,-65.9574,304.58,79,40,5.14,PR,1717694633
213,sitka,57.0531,-135.33,283.09,81,100,2.06,US,1717694634
214,nuuk,64.1835,-51.7216,277.49,100,100,8.94,GL,1717694400
215,brookings,44.3114,-96.7984,294.36,39,0,14.4,US,1717694627
216,lobito,-12.3481,13.5456,294.85,81,82,3.0,AO,1717694636
217,benjamin constant,-4.3831,-70.0311,298.22,94,75,2.06,BR,1717694636
218,poronaysk,49.2167,143.1167,278.12,91,20,1.26,RU,1717694637
219,crane,31.3974,-102.3501,305.83,45,11,8.14,US,1717694637
220,bad waldsee,47.9167,9.7667,296.68,86,74,3.83,DE,1717694638
221,petrov val,50.1434,45.2096,298.09,66,80,1.26,RU,1717694638
222,sao gabriel da cachoeira,-0.1303,-67.0892,301.04,89,40,1.54,BR,1717694639
223,constitucion,-35.3333,-72.4167,288.1,95,100,2.95,CL,1717694341
224,changleng,28.7,115.8167,293.57,88,22,1.65,CN,1717694640
225,cabo san lucas,22.8909,-109.9124,307.76,45,0,2.06,MX,1717694481
226,polyarnyy,69.1989,33.4478,287.98,60,93,5.05,RU,1717694641
227,bamboo flat,11.7,92.7167,298.2,94,100,1.03,IN,1717694642
228,chonchi,-42.6128,-73.8092,285.99,84,100,3.44,CL,1717694642
229,thompson,55.7435,-97.8558,277.24,100,100,3.6,CA,1717694643
230,puerto baquerizo moreno,-0.9,-89.6,299.7,65,40,8.75,EC,1717694531
231,lebu,-37.6167,-73.65,286.94,93,87,6.27,CL,1717694584
232,broken hill,-31.95,141.4333,280.93,82,2,4.31,AU,1717694644
233,tangalle,6.024,80.7911,299.55,88,99,3.47,LK,1717694413
234,sault ste. marie,46.5168,-84.3333,293.31,62,75,5.14,CA,1717694614
235,amahai,-3.3333,128.9167,298.7,88,62,1.53,ID,1717694646
236,plettenberg bay,-34.0527,23.3716,286.67,86,100,8.92,ZA,1717694647
237,evergreen,39.6333,-105.3172,298.71,41,0,3.13,US,1717694647
238,portland,45.5234,-122.6762,294.0,62,20,3.09,US,1717694403
239,happy valley-goose bay,53.3168,-60.3315,295.32,46,20,3.09,CA,1717694648
240,meadow lake,34.8014,-106.5436,308.13,17,0,3.75,US,1717694649
241,kartal,47.6713,19.542,302.24,64,36,1.27,HU,1717694649
242,ceeldheer,3.8488,47.1806,300.13,79,54,8.66,SO,1717694650
243,oranjemund,-28.55,16.4333,287.56,84,1,4.31,NA,1717694650
244,kunming,25.0389,102.7183,292.11,88,75,5.0,CN,1717694651
245,bhum,18.4667,75.6667,297.5,91,99,6.85,IN,1717694652
246,san antonio,29.4241,-98.4936,308.72,55,20,3.6,US,1717694407
247,galle,6.0367,80.217,300.53,80,100,3.52,LK,1717694653
248,kavieng,-2.5744,150.7967,300.8,79,46,2.57,PG,1717694653
249,kuching,1.55,110.3333,299.27,98,40,1.03,MY,1717694654
250,stanley,54.868,-1.6985,286.32,59,20,7.72,GB,1717694654
251,fuglafjordur,62.244,-6.814,280.41,75,100,7.89,FO,1717694655
252,akureyri,65.6835,-18.0878,275.11,93,100,9.26,IS,1717694656
253,fort bragg,35.139,-79.006,304.9,62,75,7.2,US,1717694563
254,ad-damazin,11.7891,34.3592,308.4,35,62,1.41,SD,1717694657
255,giyani,-23.3025,30.7187,295.72,14,0,2.02,ZA,1717694657
256,griffith,41.5284,-87.4237,299.34,39,40,11.32,US,1717694658
257,khada,27.1833,83.8833,305.26,45,60,4.63,IN,1717694658
258,katsuura,35.1333,140.3,293.28,76,100,2.78,JP,1717694659
259,beyneu,45.3167,55.2,307.76,18,38,2.34,KZ,1717694659
260,beidaihehaibin,39.8222,119.5181,292.08,78,100,2.04,CN,1717694660
261,fortuna,40.5982,-124.1573,292.0,84,0,1.54,US,1717694661
262,la gi,10.6667,107.7833,301.8,82,100,3.36,VN,1717694661
263,alofi,-19.0595,-169.9187,294.09,83,100,4.63,NU,1717694662
264,tura,25.5198,90.2201,296.93,91,0,1.71,IN,1717694662
265,nkhotakota,-12.9274,34.2961,296.46,66,38,1.76,MW,1717694663
266,tuzha,57.6062,47.936,290.8,93,47,2.25,RU,1717694663
267,catio,11.2833,-15.25,304.92,42,92,5.27,GW,1717694664
268,gaspe,48.8334,-64.4819,288.27,72,20,7.2,CA,1717694664
269,ust'-ilimsk,58.0006,102.6619,281.17,47,71,2.68,RU,1717694666
270,carbondale,37.7273,-89.2168,301.51,49,0,5.14,US,1717694422
271,kapa'a,22.0752,-159.319,299.37,94,0,3.6,US,1717694667
272,yungay,-9.1383,-77.7436,295.12,27,41,1.4,PE,1717694668
273,nelson bay,-32.7167,152.15,286.48,96,48,0.45,AU,1717694668
274,nizhnesortymskiy,62.4397,71.7603,282.86,71,100,6.52,RU,1717694669
275,sovetskiy,61.3614,63.5842,283.65,94,100,3.13,RU,1717694669
276,baiquan,47.5833,126.0833,291.36,65,81,9.23,CN,1717694670
277,tindouf,27.6711,-8.1474,307.4,24,0,7.2,DZ,1717694671
278,kingston,17.997,-76.7936,304.91,79,40,7.2,JM,1717694590
279,coyhaique,-45.5752,-72.0662,281.49,95,100,0.94,CL,1717694403
280,lido di ostia,41.7321,12.2765,302.83,48,0,6.17,IT,1717694672
281,tazovsky,67.4667,78.7,270.86,96,68,3.89,RU,1717694673
282,praia da vitoria,38.7333,-27.0667,294.29,78,20,3.55,PT,1717694578
283,enewetak,11.3474,162.3373,301.08,82,88,8.94,MH,1717694469
